"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://fitstars.ru/","text/html; charset=utf-8","200","OK","Indexable","","Видеотренировки для дома FitStars — онлайн-фитнес в домашних условиях","69","709","Платформа с программами тренировок для занятий дома без дополнительного оборудования. Занимайтесь онлайн с профессиональными тренерами и экспертами FitStars.","157","1172","","0","Август в тонусе с FitStars","26","","0","Одна платформа — польза каждый день!","36","220+ программ по любым направлениям","35","","","","","","","","","","931122","213969","213969","83,380","","830","312","2,660","100,000","Very Easy","0,827","1","0","","8099","2715","0","99,520","95","78","0","11","10","0","","","","","9cbc73128e48bd7e78fdfd056ccb8650","1,725","","","","","ru","1.1","","","","","","https://fitstars.ru/","2025-08-18 13:56:49"
"https://fitstars.ru/page/about","text/html; charset=utf-8","200","OK","Indexable","","О нас","5","51","","0","0","","0","","0","","0","","0","","0","","","","https://fitstars.ru/page/about","","","","","","199152","25413","25413","9,903","","297","72","4,125","100,000","Very Easy","1,162","1","1","","2697","2697","0","98,860","7","6","0","7","6","0","","","","","b45ba5c780e9d1b50022ee485faa1230","0,335","","","","","ru","1.1","","","","","","https://fitstars.ru/page/about","2025-08-18 13:56:52"
"https://fitstars.ru/blog/nutrition/pochemu-tykvennye-semechki-stoit-vklyuchit-v-svoj-racion-uzhe-segodnya","text/html; charset=utf-8","200","OK","Indexable","","Рассказываем про тыквенные семечки: сколько можно съесть за один раз, чем полезны и вредны, и даём рецепт соуса на их основе.","125","1267","Тыквенные семечки: польза, вред, сколько можно.","47","347","","0","Почему тыквенные семечки стоит включить в свой рацион уже сегодня","65","","0","Пищевая ценность тыквенных семечек","34","Чем полезны тыквенные семечки","29","max-image-preview:large","","","","","","","","","849831","165938","165938","64,663","","2869","627","4,576","100,000","Very Easy","2,346","1","2","","2072","2064","0","75,660","60","44","0","27","13","0","","","","","48151e32ed9b1852f7bb3dfba71d4479","1,633","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/nutrition/pochemu-tykvennye-semechki-stoit-vklyuchit-v-svoj-racion-uzhe-segodnya","2025-08-18 13:56:51"
"https://fitstars.ru/blog/healthy-lifestyle/limfodrenazhnyj-massazh-nog-vidy-tehniki-vypolneniya-i-protivopokazaniya","text/html; charset=utf-8","200","OK","Indexable","","Лимфодренажный массаж ног: виды, показания, противопоказания","60","642","Разбираем медицинский и косметический лимфодренажный массаж. Когда нужен врач, а когда достаточно салона красоты. Противопоказания и техники выполнения.","152","1143","","0","Лимфодренажный массаж ног — виды, техники выполнения и противопоказания","71","","0","Что такое лимфодренажный массаж, и как он работает","50","Медицинский и косметический лимфодренажный массаж — в чём разница","65","max-image-preview:large","","","","","","","","","858024","164978","164978","64,289","","2425","556","4,362","100,000","Very Easy","2,163","1","2","","12","5","0","0,180","60","45","0","29","15","0","","","","","3b7243f72ee267a1876a0bf2c0c6f9e5","1,312","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/healthy-lifestyle/limfodrenazhnyj-massazh-nog-vidy-tehniki-vypolneniya-i-protivopokazaniya","2025-08-18 13:56:52"
"https://fitstars.ru/blog/workout/hiit-light-ot-lizy-prokudinoj-kogda-intervalnye-trenirovki-rabotayut-na-metabolizm-ne-na-pereutomlenie","text/html; charset=utf-8","200","OK","Indexable","","HIIT LIGHT: как интервальные тренировки помогают худеть новичкам без изнурения","78","799","Разбираем программу HIIT LIGHT от Елизаветы Прокудиной. Это 20 тренировок по 25 минут для плавного старта. Узнайте, как сжигать до 200 ккал, развивать выносливость и укреплять мышцы без стресса.","194","1405","","0","HIIT LIGHT от Лизы Прокудиной — когда интервальные тренировки работают на метаболизм, а не на переутомление","107","","0","Как HIIT LIGHT делает интенсивные тренировки доступными для всех","64","Как устроена каждая тренировка","30","max-image-preview:large","","","","","","","","","831696","161105","161105","62,780","","2304","514","4,482","100,000","Very Easy","1,979","1","2","","15","5","0","0,180","63","45","0","13","10","0","","","","","fcf6204bf0a8c0a4726ff20d96138997","0,962","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/workout/hiit-light-ot-lizy-prokudinoj-kogda-intervalnye-trenirovki-rabotayut-na-metabolizm-ne-na-pereutomlenie","2025-08-18 13:56:54"
"https://fitstars.ru/blog/catalog?page=131","text/html; charset=utf-8","200","OK","Non-Indexable","noindex","FitStars Медиа — журнал о здоровом образе жизни, домашних тренировках и питании","79","808","Медиа, объединяющее науку, доказательную медицину и вдохновляющий контент. Помогаем миллионам людей осознанно заботиться о своем здоровье и долголетии.","151","1145","","0","Каталог статей","14","","0","Фильтры","7","","0","noindex, follow, max-image-preview:large","","","","","","","","","694893","134251","134251","52,315","","293","156","1,878","100,000","Very Easy","0,308","1","1","","132","132","0","4,840","29","23","0","6","6","0","","","","","f9634e5e93cd3c577fdcf0ccdfa1bf55","1,258","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/catalog?page=131","2025-08-18 13:56:54"
"https://fitstars.ru/blog/nutrition/kumkvat-malenkij-frukt-s-bolshoj-polzoj","text/html; charset=utf-8","200","OK","Indexable","","https://fitstars.ru/blog/nutrition/kumkvat-malenkij-frukt-s-bolshoj-polzoj","74","638","","0","0","","0","Кумкват — маленький фрукт с большой пользой","43","","0","Что такое кумкват?","18","Чем полезен кумкват?","20","max-image-preview:large","","","","","","","","","827533","160600","160600","62,583","","2223","591","3,761","100,000","Very Easy","1,821","1","2","","2072","2064","0","75,660","57","41","0","28","14","0","","","","","c9e87d09bded58bb6c73fc58f09ca367","0,877","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/nutrition/kumkvat-malenkij-frukt-s-bolshoj-polzoj","2025-08-18 13:56:54"
"https://fitstars.ru/blog/workout/odin-podyom-chtoby-prorabotat-vsyo-telo-osvaivaem-tehniku-tureckogo-podyoma","text/html; charset=utf-8","200","OK","Indexable","","Турецкий подъём: как правильно делать упражнение с гирей, гантелей и не только.","79","786","Укрепите кор, плечи и ноги с помощью одного упражнения. Разбираем 6 шагов техники турецкого подъёма с гирей, гантелью или штангой. Учимся избегать частых ошибок, чтобы развить баланс и координацию.","197","1440","","0","Один подъём, чтобы проработать всё тело: осваиваем технику турецкого подъёма","76","","0","Что такое турецкий подъём","25","Как турецкий подъём улучшит вашу физическую форму","49","max-image-preview:large","","","","","","","","","830123","163068","163068","63,545","","2402","602","3,990","100,000","Very Easy","2,001","1","2","","13","5","0","0,180","62","46","0","22","15","0","","","","","48aebca2e5373e780154fd7954783e9e","0,995","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/workout/odin-podyom-chtoby-prorabotat-vsyo-telo-osvaivaem-tehniku-tureckogo-podyoma","2025-08-18 13:56:55"
"https://fitstars.ru/blog/nutrition/pitanie-pri-stresse","text/html; charset=utf-8","200","OK","Indexable","","Как перестать заедать стресс: питание, продукты и рабочие советы","64","640","Почему заедать стресс вредно: что такое гормональная ловушка, переедание, пустые калории, и что есть при стрессе. Пошаговые советы, список продуктов, FAQ.","154","1109","","0","Питание при стрессе: почему «заедание» вредно и что есть вместо сладкого","72","","0","Стресс плохой и хороший","23","Короткий ответ — почему не стоит заедать стресс","47","max-image-preview:large","","","","","","","","","870058","172797","172797","67,336","","3158","717","4,404","100,000","Very Easy","2,586","1","2","","23","13","0","0,480","65","48","0","19","14","0","","","","","a80eec136eef14d69a7c7310b65241e3","0,991","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/nutrition/pitanie-pri-stresse","2025-08-18 13:56:56"
"https://fitstars.ru/blog/healthy-lifestyle/aromaty-i-sport","text/html; charset=utf-8","200","OK","Indexable","","Парфюм для спорта: как аромат влияет на тренировку дома и в зале","64","653","Парфюм и ароматы для спорта: как выбрать запах, который повышает мотивацию, концентрацию и удовольствие от тренировок дома и в зале.","132","982","","0","Парфюм для спорта: как аромат влияет на тренировку дома и в зале","64","","0","Почему парфюм в фитнес-залах — спорная идея","43","Как ароматы могут помочь на тренировке","38","max-image-preview:large","","","","","","","","","827816","161188","161188","62,812","","2178","517","4,213","100,000","Very Easy","1,921","1","2","","21","16","0","0,590","58","45","0","16","11","0","","","","","60247c2c78598d3b64f92f230e9cbca5","0,987","","","","","ru","1.1","","","","","","https://fitstars.ru/blog/healthy-lifestyle/aromaty-i-sport","2025-08-18 13:56:56"
